,x,y,x_scaled,y_scaled
333,2381,2048,0.5365722656249999,0.0
334,2382,2049,0.53818359375,0.0048828125
335,2383,2048,0.539794921875,0.0
336,2384,2050,0.54140625,0.009765625
337,2385,2050,0.543017578125,0.009765625
338,2386,2050,0.5446289062499999,0.009765625
339,2387,2050,0.546240234375,0.009765625
340,2388,2049,0.5478515625,0.0048828125
341,2389,2049,0.549462890625,0.0048828125
342,2390,2049,0.55107421875,0.0048828125
343,2391,2050,0.5526855468749999,0.009765625
344,2392,2049,0.554296875,0.0048828125
345,2393,2049,0.555908203125,0.0048828125
346,2394,2050,0.55751953125,0.009765625
347,2395,2049,0.559130859375,0.0048828125
348,2396,2050,0.5607421874999999,0.009765625
349,2397,2050,0.562353515625,0.009765625
350,2398,2050,0.56396484375,0.009765625
351,2399,2050,0.565576171875,0.009765625
352,2400,2050,0.5671875,0.009765625
353,2401,2050,0.5687988281249999,0.009765625
354,2402,2050,0.57041015625,0.009765625
355,2403,2049,0.572021484375,0.0048828125
356,2404,2050,0.5736328125,0.009765625
357,2405,2050,0.575244140625,0.009765625
358,2406,2050,0.5768554687499999,0.009765625
359,2407,2050,0.578466796875,0.009765625
360,2408,2050,0.580078125,0.009765625
361,2409,2050,0.581689453125,0.009765625
362,2410,2050,0.58330078125,0.009765625
363,2411,2050,0.5849121093749999,0.009765625
364,2412,2049,0.5865234375,0.0048828125
365,2413,2048,0.588134765625,0.0
366,2414,2050,0.58974609375,0.009765625
367,2415,2049,0.591357421875,0.0048828125
368,2416,2049,0.5929687499999999,0.0048828125
369,2417,2050,0.594580078125,0.009765625
370,2418,2049,0.59619140625,0.0048828125
371,2419,2050,0.597802734375,0.009765625
372,2420,2050,0.5994140625,0.009765625
373,2421,2050,0.6010253906249999,0.009765625
374,2422,2050,0.60263671875,0.009765625
375,2423,2050,0.604248046875,0.009765625
376,2424,2050,0.605859375,0.009765625
377,2425,2050,0.607470703125,0.009765625
378,2426,2050,0.6090820312499999,0.009765625
379,2427,2049,0.610693359375,0.0048828125
380,2428,2050,0.6123046875,0.009765625
381,2429,2049,0.613916015625,0.0048828125
382,2430,2048,0.61552734375,0.0
383,2431,2050,0.6171386718749999,0.009765625
384,2432,2050,0.6187499999999999,0.009765625
385,2433,2050,0.620361328125,0.009765625
386,2434,2050,0.62197265625,0.009765625
387,2435,2050,0.623583984375,0.009765625
388,2436,2049,0.6251953124999999,0.0048828125
389,2437,2050,0.6268066406249999,0.009765625
390,2438,2050,0.62841796875,0.009765625
391,2439,2049,0.630029296875,0.0048828125
392,2440,2049,0.631640625,0.0048828125
393,2441,2048,0.6332519531249999,0.0
394,2442,2048,0.6348632812499999,0.0
395,2443,2050,0.636474609375,0.009765625
396,2444,2050,0.6380859375,0.009765625
397,2445,2049,0.639697265625,0.0048828125
398,2446,2049,0.6413085937499999,0.0048828125
399,2447,2049,0.6429199218749999,0.0048828125
400,2448,2050,0.64453125,0.009765625
401,2449,2050,0.646142578125,0.009765625
402,2450,2050,0.64775390625,0.009765625
403,2451,2050,0.6493652343749999,0.009765625
404,2452,2049,0.6509765624999999,0.0048828125
405,2453,2050,0.652587890625,0.009765625
406,2454,2049,0.65419921875,0.0048828125
407,2455,2050,0.655810546875,0.009765625
408,2456,2049,0.6574218749999999,0.0048828125
409,2457,2050,0.6590332031249999,0.009765625
410,2458,2050,0.66064453125,0.009765625
411,2459,2049,0.662255859375,0.0048828125
412,2460,2049,0.6638671875,0.0048828125
413,2461,2050,0.6654785156249999,0.009765625
414,2462,2051,0.6670898437499999,0.0146484375
415,2463,2050,0.668701171875,0.009765625
416,2464,2050,0.6703125,0.009765625
417,2465,2046,0.671923828125,-0.009765625
418,2466,2049,0.6735351562499999,0.0048828125
419,2467,2050,0.6751464843749999,0.009765625
420,2468,2049,0.6767578125,0.0048828125
421,2469,2049,0.678369140625,0.0048828125
422,2470,2049,0.67998046875,0.0048828125
423,2471,2048,0.6815917968749999,0.0
424,2472,2050,0.6832031249999999,0.009765625
425,2473,2050,0.684814453125,0.009765625
426,2474,2050,0.68642578125,0.009765625
427,2475,2050,0.688037109375,0.009765625
428,2476,2049,0.6896484374999999,0.0048828125
429,2477,2050,0.6912597656249999,0.009765625
430,2478,2049,0.69287109375,0.0048828125
431,2479,2049,0.694482421875,0.0048828125
432,2480,2050,0.69609375,0.009765625
433,2481,2050,0.6977050781249999,0.009765625
